-2.7577,0.87974,-0.20364,0.86747,-0.5184,-0.02646,3.0473
-2.758,0.88025,-0.20441,0.86683,-0.51751,-0.025206,3.0473
-2.759,0.88176,-0.2067,0.86497,-0.51488,-0.021511,3.0473
-2.7606,0.88423,-0.21044,0.86193,-0.51059,-0.015478,3.0473
-2.7627,0.88761,-0.21556,0.85776,-0.50471,-0.0072078,3.0473
-2.7654,0.89186,-0.22201,0.85251,-0.49731,0.0031979,3.0473
-2.7686,0.89695,-0.22971,0.84623,-0.48847,0.015637,3.0473
-2.7723,0.90282,-0.23862,0.83899,-0.47825,0.030009,3.0473
-2.7765,0.90944,-0.24865,0.83081,-0.46673,0.04621,3.0473
-2.7812,0.91677,-0.25976,0.82177,-0.45398,0.064141,3.0473
-2.7863,0.92477,-0.27188,0.81191,-0.44008,0.083698,3.0473
-2.7917,0.93338,-0.28494,0.80128,-0.42509,0.10478,3.0473
-2.7976,0.94258,-0.29888,0.78992,-0.40908,0.12729,3.0473
-2.8037,0.95232,-0.31364,0.77791,-0.39214,0.15111,3.0473
-2.8102,0.96256,-0.32916,0.76527,-0.37433,0.17616,3.0473
-2.817,0.97326,-0.34537,0.75208,-0.35573,0.20233,3.0473
-2.8241,0.98437,-0.36221,0.73837,-0.3364,0.22951,3.0473
-2.8314,0.99585,-0.37961,0.7242,-0.31642,0.25761,3.0473
-2.8388,1.0077,-0.39752,0.70961,-0.29586,0.28652,3.0473
-2.8465,1.0198,-0.41587,0.69467,-0.2748,0.31615,3.0473
-2.8544,1.0321,-0.4346,0.67942,-0.2533,0.34638,3.0473
-2.8623,1.0447,-0.45365,0.66392,-0.23144,0.37712,3.0473
-2.8704,1.0574,-0.47295,0.64821,-0.2093,0.40827,3.0473
-2.8786,1.0703,-0.49243,0.63235,-0.18693,0.43973,3.0473
-2.8868,1.0832,-0.51204,0.61638,-0.16442,0.47139,3.0473
-2.895,1.0962,-0.53172,0.60036,-0.14184,0.50315,3.0473
-2.9032,1.1092,-0.55139,0.58434,-0.11926,0.5349,3.0473
-2.9114,1.1221,-0.571,0.56838,-0.096752,0.56656,3.0473
-2.9196,1.135,-0.59049,0.55251,-0.074388,0.59802,3.0473
-2.9277,1.1477,-0.60978,0.5368,-0.052241,0.62917,3.0473
-2.9356,1.1603,-0.62883,0.5213,-0.030383,0.65991,3.0473
-2.9435,1.1727,-0.64756,0.50605,-0.008886,0.69014,3.0473
-2.9512,1.1848,-0.66591,0.49111,0.012177,0.71977,3.0473
-2.9587,1.1966,-0.68382,0.47653,0.032733,0.74868,3.0473
-2.9659,1.2081,-0.70123,0.46236,0.052712,0.77678,3.0473
-2.973,1.2192,-0.71807,0.44865,0.072039,0.80396,3.0473
-2.9798,1.2299,-0.73428,0.43545,0.090644,0.83013,3.0473
-2.9863,1.2401,-0.74979,0.42282,0.10845,0.85518,3.0473
-2.9924,1.2499,-0.76455,0.4108,0.12539,0.879,3.0473
-2.9983,1.2591,-0.7785,0.39945,0.1414,0.90151,3.0473
-3.0037,1.2677,-0.79156,0.38881,0.15638,0.92259,3.0473
-3.0088,1.2757,-0.80367,0.37895,0.17029,0.94215,3.0473
-3.0135,1.283,-0.81478,0.36991,0.18304,0.96008,3.0473
-3.0177,1.2896,-0.82481,0.36174,0.19456,0.97628,3.0473
-3.0214,1.2955,-0.83372,0.35449,0.20477,0.99065,3.0473
-3.0246,1.3006,-0.84142,0.34821,0.21362,1.0031,3.0473
-3.0273,1.3048,-0.84787,0.34297,0.22102,1.0135,3.0473
-3.0295,1.3082,-0.85299,0.3388,0.22689,1.0218,3.0473
-3.031,1.3107,-0.85673,0.33575,0.23118,1.0278,3.0473
-3.032,1.3122,-0.85902,0.33389,0.23381,1.0315,3.0473
-3.0323,1.3127,-0.8598,0.33326,0.2347,1.0328,3.0473
-3.0323,1.3127,-0.8598,0.33326,0.2347,1.0328,3.0473
